SeriesDescription,GeoAreaCode,TimePeriod,Value,Time_Detail,BasePeriod,Age,Location,Sex
Proportion of population below international poverty line (%),470,2006,0.4683,2006,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2006,0.63661,2006,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2006,1.52261,2006,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2006,0.51615,2006,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2006,0.37278,2006,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2006,0.5,2006,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2007,0.55758,2007,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2007,0.56274,2007,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2007,0.5976,2007,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2007,0.51897,2007,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2007,0.61466,2007,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2007,0.4,2007,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.13377,2008,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.10189,2008,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.22069,2008,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.1,2008,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.09742,2008,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2008,0.12312,2008,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2008,0.14879,2008,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2009,0.75865,2009,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2009,0.44896,2009,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2009,0.65397,2009,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2009,0.92832,2009,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2009,0.56926,2009,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2009,0.66387,2009,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2009,0.4,2009,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2010,0.2,2010,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2010,0.39083,2010,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2010,0.36188,2010,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2010,0.23031,2010,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2010,0.435,2010,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2010,0.25555,2010,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2010,0.34551,2010,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0,2011,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0.25867,2011,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0.48479,2011,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0.2,2011,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0.25417,2011,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2011,0.25877,2011,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2011,0.26334,2011,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2012,0,2012,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2012,0.19058,2012,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2012,0.33393,2012,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2012,0.15318,2012,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2012,0.22172,2012,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2012,0.18739,2012,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2012,0.1,2012,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2013,0,2013,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2013,0.07135,2013,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2013,0.08646,2013,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2013,0,2013,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2013,0.04726,2013,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2013,0.05931,2013,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2013,0,2013,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2014,0,2014,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2014,0.04328,2014,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2014,0,2014,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2014,0.0587,2014,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2014,0.06491,2014,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2014,0.02357,2014,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2014,0.04119,2014,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2015,0.06967,2015,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2015,0.14074,2015,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2015,0.02036,2015,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2015,0.1003,2015,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2015,0.11653,2015,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2015,0.10846,2015,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2015,0.1,2015,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2016,0.1,2016,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2016,0.09219,2016,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2016,0.06425,2016,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2016,0.09953,2016,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2016,0.14013,2016,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2016,0.21448,2016,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2016,0.16151,2016,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2017,0,2017,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2017,0.22781,2017,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2017,0.02953,2017,2017,65+,ALLAREA,BOTHSEX
