Year ,Variable ,Category ,Unit of measure,Value
2005,At risk of poverty or social exclusion ,Total ,Percentage (%),20.5 
2006,At risk of poverty or social exclusion ,Total ,Percentage (%),19.5 
2007,At risk of poverty or social exclusion ,Total ,Percentage (%),19.7 
2008,At risk of poverty or social exclusion ,Total ,Percentage (%),20.1 
2009,At risk of poverty or social exclusion ,Total ,Percentage (%),20.3 
2010,At risk of poverty or social exclusion ,Total ,Percentage (%),21.2 
2011,At risk of poverty or social exclusion ,Total ,Percentage (%),22.1 
2012,At risk of poverty or social exclusion ,Total ,Percentage (%),23.1 
2013,At risk of poverty or social exclusion ,Total ,Percentage (%),24.6 
2014,At risk of poverty or social exclusion ,Total ,Percentage (%),23.9 
2015,At risk of poverty or social exclusion ,Total ,Percentage (%),23.0 
2016,At risk of poverty or social exclusion ,Total ,Percentage (%),20.3 
2017,At risk of poverty or social exclusion ,Total ,Percentage (%),19.3 
2018,At risk of poverty or social exclusion ,Total ,Percentage (%),19
2005,At risk of poverty or social exclusion ,Males ,Percentage (%),18.9 
2006,At risk of poverty or social exclusion ,Males ,Percentage (%),17.9 
2007,At risk of poverty or social exclusion ,Males ,Percentage (%),18.6 
2008,At risk of poverty or social exclusion ,Males ,Percentage (%),18.7 
2009,At risk of poverty or social exclusion ,Males ,Percentage (%),19.1 
2010,At risk of poverty or social exclusion ,Males ,Percentage (%),20.1 
2011,At risk of poverty or social exclusion ,Males ,Percentage (%),20.9 
2012,At risk of poverty or social exclusion ,Males ,Percentage (%),21.9 
2013,At risk of poverty or social exclusion ,Males ,Percentage (%),23.8 
2014,At risk of poverty or social exclusion ,Males ,Percentage (%),23.1 
2015,At risk of poverty or social exclusion ,Males ,Percentage (%),22.2 
2016,At risk of poverty or social exclusion ,Males ,Percentage (%),20.2 
2017,At risk of poverty or social exclusion ,Males ,Percentage (%),18.5 
2018,At risk of poverty or social exclusion ,Males ,Percentage (%),17.4
2005,At risk of poverty or social exclusion ,Females ,Percentage (%),22.0 
2006,At risk of poverty or social exclusion ,Females ,Percentage (%),21.1 
2007,At risk of poverty or social exclusion ,Females ,Percentage (%),20.9 
2008,At risk of poverty or social exclusion ,Females ,Percentage (%),21.5 
2009,At risk of poverty or social exclusion ,Females ,Percentage (%),21.6 
2010,At risk of poverty or social exclusion ,Females ,Percentage (%),22.4 
2011,At risk of poverty or social exclusion ,Females ,Percentage (%),23.2 
2012,At risk of poverty or social exclusion ,Females ,Percentage (%),24.3 
2013,At risk of poverty or social exclusion ,Females ,Percentage (%),25.5 
2014,At risk of poverty or social exclusion ,Females ,Percentage (%),24.7 
2015,At risk of poverty or social exclusion ,Females ,Percentage (%),23.8 
2016,At risk of poverty or social exclusion ,Females ,Percentage (%),20.4 
2017,At risk of poverty or social exclusion ,Females ,Percentage (%),20.2 
2018,At risk of poverty or social exclusion ,Females ,Percentage (%),20.6
2005,At risk of poverty or social exclusion ,Less than 18 years,Percentage (%),23.3 
2006,At risk of poverty or social exclusion ,Less than 18 years,Percentage (%),22.2 
2007,At risk of poverty or social exclusion ,Less than 18 years,Percentage (%),23.9 
2008,At risk of poverty or social exclusion ,Less than 18 years,Percentage (%),25.0 
2009,At risk of poverty or social exclusion ,Less than 18 years,Percentage (%),26.5 
