Year,Variable,Category,Unit of measure,Value
2006,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),7.6
2007,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),2.8
2008,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),3.1
2009,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),7.5
2010,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),0.3
2011,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),3.8
2012,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),4.1
2013,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),4.2
2014,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),6.1
2015,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),5.0
2016,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),0.9
2017,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),8.9
2018,Growth rate of the net equivalised income among the bottom 40 per cent of the population,Total ,Percent (%),0.2
