Year,Females in managerial positions,Unit of measure,Value
2009,Percentage (%) out of total managers,Percentage (%),21.05263158
2010,Percentage (%) out of total managers,Percentage (%),22.37762238
2011,Percentage (%) out of total managers,Percentage (%),24.13793103
2012,Percentage (%) out of total managers,Percentage (%),26.99386503
2013,Percentage (%) out of total managers,Percentage (%),28.24858757
2014,Percentage (%) out of total managers,Percentage (%),26.5625
2015,Percentage (%) out of total managers,Percentage (%),26.59574468
2016,Percentage (%) out of total managers,Percentage (%),27.80487805
2017,Percentage (%) out of total managers,Percentage (%),28.63436123
2018,Percentage (%) out of total managers,Percentage (%),28.91566265
