Year,Variable,Sex,Age group,Unit of measure,Value
2009,Unemployment rate (%),Total,15-74,Percent (%),6.9
2010,Unemployment rate (%),Total,15-74,Percent (%),6.9
2011,Unemployment rate (%),Total,15-74,Percent (%),6.4
2012,Unemployment rate (%),Total,15-74,Percent (%),6.2
2013,Unemployment rate (%),Total,15-74,Percent (%),6.1
2014,Unemployment rate (%),Total,15-74,Percent (%),5.7
2015,Unemployment rate (%),Total,15-74,Percent (%),5.4
2016,Unemployment rate (%),Total,15-74,Percent (%),4.7
2017,Unemployment rate (%),Total,15-74,Percent (%),4
2018,Unemployment rate (%),Total,15-74,Percent (%),3.7
2009,Unemployment rate (%),Males,15-74,Percent (%),6.5
2010,Unemployment rate (%),Males,15-74,Percent (%),6.7
2011,Unemployment rate (%),Males,15-74,Percent (%),6
2012,Unemployment rate (%),Males,15-74,Percent (%),5.6
2013,Unemployment rate (%),Males,15-74,Percent (%),6.1
2014,Unemployment rate (%),Males,15-74,Percent (%),6.1
2015,Unemployment rate (%),Males,15-74,Percent (%),5.4
2016,Unemployment rate (%),Males,15-74,Percent (%),4.4
2017,Unemployment rate (%),Males,15-74,Percent (%),3.8
2018,Unemployment rate (%),Males,15-74,Percent (%),3.8
2009,Unemployment rate (%),Females,15-74,Percent (%),7.6
2010,Unemployment rate (%),Females,15-74,Percent (%),7.1
2011,Unemployment rate (%),Females,15-74,Percent (%),7.1
2012,Unemployment rate (%),Females,15-74,Percent (%),7.2
2013,Unemployment rate (%),Females,15-74,Percent (%),6.1
2014,Unemployment rate (%),Females,15-74,Percent (%),5.1
2015,Unemployment rate (%),Females,15-74,Percent (%),5.4
2016,Unemployment rate (%),Females,15-74,Percent (%),5.2
2017,Unemployment rate (%),Females,15-74,Percent (%),4.3
2018,Unemployment rate (%),Females,15-74,Percent (%),3.5
2009,Unemployment rate (%),Total,15-24,Percent (%),14.5
2010,Unemployment rate (%),Total,15-24,Percent (%),13.2
2011,Unemployment rate (%),Total,15-24,Percent (%),13.3
2012,Unemployment rate (%),Total,15-24,Percent (%),13.8
2013,Unemployment rate (%),Total,15-24,Percent (%),12.7
2014,Unemployment rate (%),Total,15-24,Percent (%),11.7
2015,Unemployment rate (%),Total,15-24,Percent (%),11.6
2016,Unemployment rate (%),Total,15-24,Percent (%),10.7
2017,Unemployment rate (%),Total,15-24,Percent (%),10.6
2018,Unemployment rate (%),Total,15-24,Percent (%),9.1
2009,Unemployment rate (%),Males,15-24,Percent (%),16.2
2010,Unemployment rate (%),Males,15-24,Percent (%),14.4
2011,Unemployment rate (%),Males,15-24,Percent (%),13.7
2012,Unemployment rate (%),Males,15-24,Percent (%),13.3
2013,Unemployment rate (%),Males,15-24,Percent (%),14.7
2014,Unemployment rate (%),Males,15-24,Percent (%),13.7
2015,Unemployment rate (%),Males,15-24,Percent (%),13.2
2016,Unemployment rate (%),Males,15-24,Percent (%),10.2
2017,Unemployment rate (%),Males,15-24,Percent (%),11.1
2018,Unemployment rate (%),Males,15-24,Percent (%),11.2
2009,Unemployment rate (%),Females,15-24,Percent (%),12.5
2010,Unemployment rate (%),Females,15-24,Percent (%),11.8
2011,Unemployment rate (%),Females,15-24,Percent (%),12.9
2012,Unemployment rate (%),Females,15-24,Percent (%),14.5
2013,Unemployment rate (%),Females,15-24,Percent (%),10.4
2014,Unemployment rate (%),Females,15-24,Percent (%),9.5
2015,Unemployment rate (%),Females,15-24,Percent (%),9.8
2016,Unemployment rate (%),Females,15-24,Percent (%),11.4
2017,Unemployment rate (%),Females,15-24,Percent (%),9.9
2018,Unemployment rate (%),Females,15-24,Percent (%),6.8
2009,Unemployment rate (%),Total,25-74,Percent (%),5.3
2010,Unemployment rate (%),Total,25-74,Percent (%),5.6
2011,Unemployment rate (%),Total,25-74,Percent (%),5
2012,Unemployment rate (%),Total,25-74,Percent (%),4.8
2013,Unemployment rate (%),Total,25-74,Percent (%),4.9
2014,Unemployment rate (%),Total,25-74,Percent (%),4.7
2015,Unemployment rate (%),Total,25-74,Percent (%),4.4
2016,Unemployment rate (%),Total,25-74,Percent (%),3.8
2017,Unemployment rate (%),Total,25-74,Percent (%),3.1
2018,Unemployment rate (%),Total,25-74,Percent (%),2.9
2009,Unemployment rate (%),Males,25-74,Percent (%),4.9
2010,Unemployment rate (%),Males,25-74,Percent (%),5.5
2011,Unemployment rate (%),Males,25-74,Percent (%),4.7
2012,Unemployment rate (%),Males,25-74,Percent (%),4.4
2013,Unemployment rate (%),Males,25-74,Percent (%),4.8
2014,Unemployment rate (%),Males,25-74,Percent (%),5.1
2015,Unemployment rate (%),Males,25-74,Percent (%),4.3
2016,Unemployment rate (%),Males,25-74,Percent (%),3.6
2017,Unemployment rate (%),Males,25-74,Percent (%),2.9
2018,Unemployment rate (%),Males,25-74,Percent (%),2.9
2009,Unemployment rate (%),Females,25-74,Percent (%),6.2
2010,Unemployment rate (%),Females,25-74,Percent (%),5.8
2011,Unemployment rate (%),Females,25-74,Percent (%),5.6
2012,Unemployment rate (%),Females,25-74,Percent (%),5.5
2013,Unemployment rate (%),Females,25-74,Percent (%),5.2
2014,Unemployment rate (%),Females,25-74,Percent (%),4.2
2015,Unemployment rate (%),Females,25-74,Percent (%),4.5
2016,Unemployment rate (%),Females,25-74,Percent (%),4.1
2017,Unemployment rate (%),Females,25-74,Percent (%),3.3
2018,Unemployment rate (%),Females,25-74,Percent (%),2.9
