Year,Variable,Category,Unit of measure,Value
2005,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.2
2006,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.6
2007,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.8
2008,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.6
2009,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.2
2010,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.0
2011,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.3
2012,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.4
2013,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.7
2014,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.3
2015,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.6
2016,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),7.8
2017,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.6
2018,Proportion of people living below 50 per cent of median income,Total ,Percentage (%),8.7
2005,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),6.9
2006,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),7.2
2007,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),7.4
2008,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.2
2009,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),6.7
2010,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),7.9
2011,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),7.8
2012,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),7.2
2013,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.5
2014,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.5
2015,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.9
2016,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.1
2017,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.4
2018,Proportion of people living below 50 per cent of median income,Males ,Percentage (%),8.3
2005,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),7.5
2006,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.1
2007,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.2
2008,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),9.0
2009,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),7.7
2010,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.1
2011,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.8
2012,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),7.7
2013,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.9
2014,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.1
2015,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.4
2016,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),7.4
2017,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),8.8
2018,Proportion of people living below 50 per cent of median income,Females ,Percentage (%),9.2
2005,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),8.8
2006,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),10.1
2007,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),9.7
2008,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),11.6
2009,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),10.7
2010,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),10.3
2011,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),11.8
2012,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),10.1
2013,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),14.5
2014,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),15.1
2015,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),14.5
2016,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),10.8
